,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
5223,2014,Educação,Ensino profissional,352360.23
5224,2014,Educação,Ensino profissional,447343.92
5226,2014,Educação,Ensino profissional,2047.13
5227,2014,Educação,Atenção básica,7195.56
5231,2014,Educação,Atenção básica,202.36
5238,2014,Educação,Ensino superior,13013.48
5242,2014,Educação,Ensino superior,250000.0
5244,2014,Educação,Atenção básica,5427.16
5248,2014,Educação,Atenção básica,162829.21
5251,2014,Educação,Atenção básica,227376.6
5255,2014,Educação,Ensino superior,399102.7
5258,2014,Educação,Ensino superior,507000.0
5260,2014,Educação,Ensino superior,10110.1
5265,2014,Educação,Atenção básica,42222.0
5267,2014,Educação,Ensino profissional,334676.44
5269,2014,Educação,Ensino profissional,177822.28
5270,2014,Educação,Ensino profissional,787.09
5271,2014,Educação,Ensino profissional,212171.08
5272,2014,Educação,Atenção básica,24836.41
5273,2014,Educação,Ensino profissional,15260.19
5278,2014,Educação,Ensino superior,18965.56
5285,2014,Educação,Atenção básica,20662.71
5286,2014,Educação,Ensino superior,900.0
5287,2014,Educação,Atenção básica,4202.04
